year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,beta,lnmcap,ret12
2004,10952,UNII,UNI INVEST U S LTD,228.0,0.03129503,0.0033988292164402723,-0.23984608103653507,12.241140173967914,0.22816420146568706
2005,10952,UNII,UNI INVEST U S LTD,240.0,0.053209413,0.011787211609290969,-0.49377396278746444,12.645661705401563,0.04843400563655109
2006,10952,UNII,UNI INVEST U S LTD,252.0,0.05007207,0.010122126367771269,-0.5025200281396867,13.129317674603216,0.1970436294143565
2007,10952,UNII,UNI INVEST U S LTD,264.0,0.05871163,0.01105833230139542,0.20341189713207983,13.328322325056282,-0.3145746750676661
2008,10952,UNII,UNI INVEST U S LTD,276.0,0.08955259,0.009225801992161277,0.4822872383171342,13.05764910868838,-0.23407654224078178
2009,10952,UNII,UNI INVEST U S LTD,288.0,0.12623565,0.008539258164159043,1.6496297190214182,12.34221976140603,-0.003698002476863138
2010,10952,UNII,UNI INVEST U S LTD,300.0,0.029940752,0.002152314361754212,1.8691746588784268,12.928526088314717,-0.03353230958276421
2011,10952,UNII,UNI INVEST U S LTD,312.0,0.07721289,0.006051430367357308,1.8754466438753008,12.657955625694685,-0.2560579062778924
2012,10952,UNII,UNI INVEST U S LTD,324.0,0.052593887,0.00394456151123431,1.8658836036213309,12.792575906406485,0.2736844971144605
2013,10952,UNII,UNI INVEST U S LTD,336.0,0.035222113,0.00497430592393756,1.987756471174185,12.920343919454902,0.2292545021570127
2014,10952,UNII,UNI INVEST U S LTD,348.0,0.03019406,0.008411858685666362,1.6357771880150054,13.130125643850084,0.2097732461163857
2015,10952,UNII,UNI INVEST U S LTD,360.0,0.027982377,0.008199553850065246,1.2535901809273864,13.288611817021824,-0.007298506794315651
2016,10952,UNII,UNI INVEST U S LTD,372.0,0.028587893,0.008144737477624465,1.0002998182767555,13.294356805035148,-0.050559440672708233
2017,10952,UNII,UNI INVEST U S LTD,384.0,0.035816938,0.008759636978391792,0.6206970167128376,13.082457936239392,-0.034241654516528386
